Gene	Chrom	RegionNum	RegionLength	Resolution	GeneName	GeneID	CandidateProgressionDrivers.CandidateTumorSuppressors.CandidateTumorInitiation	State1	State2	State3	Chr	Start	End	Strand	TSS	Start_p5k	End_p5k	Start_p2k	End_p2k	TSSInRegion	Promoter5kInRegion	Promoter2kInRegion
Neurl1a	19	40	10000	10000	Neurl1a	16	NA	3191	1133	10365	chr19	47178820	47259441	+	47178820	47173820	47178820	47176820	47178820	region:24	region:24	region:24
Anxa8	14	40	8000	8000	Anxa8	17	CPD	2996	1024	9074	chr14	34085981	34100571	+	34085981	34080981	34085981	34083981	34085981	region:18	"region:17,18"	region:18
Slc6a19_Trip13	13	40	10000	10000	Trip13	18	CPD	2954	1074	9427	chr13	73911347	73937784	-	73937784	73937784	73942784	73937784	73939784	region:34	"region:34,35"	region:34
Slc6a19_Trip13	13	40	10000	10000	Slc6a19	18	CPD	2954	1074	9427	chr13	73679745	73704865	-	73704865	73704865	73709865	73704865	73706865	region:11	region:11	region:11
Myrip	9	40	10000	10000	Myrip	19	CTS	3018	1076	9700	chr9	120301513	120474841	+	120301513	120296513	120301513	120299513	120301513	region:19	region:19	region:19
Slc6a20a_Xcr1	9	40	10000	10000	Xcr1	20	CTS	2917	1068	9663	chr9	123852315	123862029	-	123862029	123862029	123867029	123862029	123864029	region:37	region:37	region:37
Slc6a20a_Xcr1	9	40	10000	10000	Slc6a20a	20	CTS	2917	1068	9663	chr9	123634770	123678885	-	123678885	123678885	123683885	123678885	123680885	region:18	"region:18,19"	"region:18,19"
Myc	15	40	20000	20000	Myc	21	CID	3300	1027	10037	chr15	61985391	61990374	+	61985391	61980391	61985391	61983391	61985391	region:28	region:28	region:28
Mycn	12	40	20000	20000	Mycn	22	CPD	3304	1024	9408	chr12	12936093	12941914	-	12941914	12941914	12946914	12941914	12943914	region:27	region:27	region:27
Foxq1	13	40	15000	15000	Foxq1	23	CPD	3149	980	9712	chr13	31556134	31560976	+	31556134	31551134	31556134	31554134	31556134	region:38	region:38	region:38
Fhit	14	40	20000	20000	Fhit	24	CPD	3213	982	9132	chr14	9550092	11162035	-	11162035	11162035	11167035	11162035	11164035	region:23	region:23	region:23
Gata4	14	40	12000	12000	Gata4	25	NA	3199	999	9463	chr14	63198922	63271692	-	63271692	63271692	63276692	63271692	63273692	region:18	region:18	region:18
Peg3	7	40	15000	15000	Peg3	26	CPD	2847	839	6998	chr7	6703892	6730431	-	6730431	6730431	6735431	6730431	6732431	region:26	region:26	region:26
Oit1	14	40	20000	20000	Oit1	27	CPD	3135	984	9225	chr14	8348937	8378754	-	8378754	8378754	8383754	8378754	8380754	region:23	region:23	region:23
Ncald	15	40	15000	15000	Ncald	28	NA	3026	1013	9663	chr15	37366175	37792570	-	37792570	37792570	37797570	37792570	37794570	region:32	region:32	region:32
Cxcl12	6	40	15000	15000	Cxcl12	29	CTS	2971	983	7728	chr6	117168535	117181367	+	117168535	117163535	117168535	117166535	117168535	region:2	region:2	region:2
ApoB	12	40	20000	20000	ApoB	30	CPD	2979	1020	9077	chr12	7977648	8016835	+	7977648	7972648	7977648	7975648	7977648	region:23	region:23	region:23
